3 4 Revenue eased 0.3 % to 3.45 billion from 3.46 billion	Revenue eases 0.3 % to 3.45 billion from 3.46 billion
3 5 Revenue eased 0.3 % to 3.45 billion from 3.46 billion	Revenue eases 0.3 %
0 4 Terms of the transaction were n't disclosed	Terms of the transaction were n't disclosed
0 5 Terms of the transaction were n't disclosed	Terms were n't disclosed
1 4 Terms of the transaction were n't disclosed	Terms of the transaction will not be disclosed
1 5 Terms of the transaction were n't disclosed	Terms will not be disclosed
3 4 Terms of the transaction were n't disclosed	Terms of the transaction is n't disclosed
3 5 Terms of the transaction were n't disclosed	Terms is n't disclosed
0 4 MINORITY RECRUITING has yet to meet hopes raised by Bush administration	MINORITY RECRUITING has yet to meet hopes raised by Bush administration
0 5 MINORITY RECRUITING has yet to meet hopes raised by Bush administration	MINORITY RECRUITING has yet to meet hopes raised
1 4 MINORITY RECRUITING has yet to meet hopes raised by Bush administration	MINORITY RECRUITING will have yet to meet hopes will raised by Bush administration
1 5 MINORITY RECRUITING has yet to meet hopes raised by Bush administration	MINORITY RECRUITING will have yet to meet hopes will raised
2 4 MINORITY RECRUITING has yet to meet hopes raised by Bush administration	MINORITY RECRUITING had yet to meet hopes raised by Bush administration
2 5 MINORITY RECRUITING has yet to meet hopes raised by Bush administration	MINORITY RECRUITING had yet to meet hopes raised
0 4 The perception lingers says an official at a major industrial company	The perception lingers says an official at a major industrial company
0 5 The perception lingers says an official at a major industrial company	The perception lingers says an official
1 4 The perception lingers says an official at a major industrial company	The perception will linger will say an official at a major industrial company
1 5 The perception lingers says an official at a major industrial company	The perception will linger will say an official
2 4 The perception lingers says an official at a major industrial company	The perception lingered said an official at a major industrial company
2 5 The perception lingers says an official at a major industrial company	The perception lingered said an official
0 4 Is there really a commitment or an illusion of activity he asks	Is there really a commitment or an illusion of activity he asks
0 5 Is there really a commitment or an illusion of activity he asks	Is there really a commitment or an illusion he asks
1 4 Is there really a commitment or an illusion of activity he asks	Is there really a commitment or an illusion of activity he will ask
1 5 Is there really a commitment or an illusion of activity he asks	Is there really a commitment or an illusion he will ask
2 4 Is there really a commitment or an illusion of activity he asks	Is there really a commitment or an illusion of activity he asked
2 5 Is there really a commitment or an illusion of activity he asks	Is there really a commitment or an illusion he asked
0 4 Samuel Hall Howard University 's placement director also does n't see it	Samuel Hall Howard University 's placement director also does n't see it
1 4 Samuel Hall Howard University 's placement director also does n't see it	Samuel Hall Howard University 's placement director also will not see it
2 4 Samuel Hall Howard University 's placement director also does n't see it	Samuel Hall Howard University 's placement director also did n't see it
0 4 And he questions the White House dedication	And he questions the White House dedication
1 4 And he questions the White House dedication	And he will question the White House dedication
2 4 And he questions the White House dedication	And he questioned the White House dedication
0 4 I do n't think the Bush administration has done anything he says	I do n't think the Bush administration has done anything he says
1 4 I do n't think the Bush administration has done anything he says	I will not think the Bush administration has done anything he will say
2 4 I do n't think the Bush administration has done anything he says	I did n't think the Bush administration had done anything he said
0 4 Recruiter Donald Clark does note an increase in searches for minority candidates	Recruiter Donald Clark does note an increase in searches for minority candidates
0 5 Recruiter Donald Clark does note an increase in searches for minority candidates	Recruiter Donald Clark does note an increase
1 4 Recruiter Donald Clark does note an increase in searches for minority candidates	Recruiter Donald Clark will note an increase in searches for minority candidates
1 5 Recruiter Donald Clark does note an increase in searches for minority candidates	Recruiter Donald Clark will note an increase
2 4 Recruiter Donald Clark does note an increase in searches for minority candidates	Recruiter Donald Clark did note an increase in searches for minority candidates
2 5 Recruiter Donald Clark does note an increase in searches for minority candidates	Recruiter Donald Clark did note an increase
0 4 PAY FOR PERFORMANCE hangs mostly on boss 's subjective view	PAY FOR PERFORMANCE hangs mostly on boss 's subjective view
0 5 PAY FOR PERFORMANCE hangs mostly on boss 's subjective view	PAY hangs mostly
1 4 PAY FOR PERFORMANCE hangs mostly on boss 's subjective view	PAY FOR PERFORMANCE will hang mostly on boss 's subjective view
1 5 PAY FOR PERFORMANCE hangs mostly on boss 's subjective view	PAY will hang mostly
2 4 PAY FOR PERFORMANCE hangs mostly on boss 's subjective view	PAY FOR PERFORMANCE hung mostly on boss 's subjective view
2 5 PAY FOR PERFORMANCE hangs mostly on boss 's subjective view	PAY hung mostly
0 4 Many companies have set up machinery to assure workers a fair shake	Many companies have set up machinery to assure workers a fair shake
1 4 Many companies have set up machinery to assure workers a fair shake	Many companies will have set up machinery to assure workers a fair shake
2 4 Many companies have set up machinery to assure workers a fair shake	Many companies had set up machinery to assure workers a fair shake
0 4 JAPANESE COMPANIES fare best in U.S. when they give Americans more say	JAPANESE COMPANIES fare best in U.S. when they give Americans more say
0 5 JAPANESE COMPANIES fare best in U.S. when they give Americans more say	JAPANESE COMPANIES fare best when they give Americans more say
1 4 JAPANESE COMPANIES fare best in U.S. when they give Americans more say	JAPANESE COMPANIES will fare best in U.S. when they will give Americans more say
1 5 JAPANESE COMPANIES fare best in U.S. when they give Americans more say	JAPANESE COMPANIES will fare best when they will give Americans more say
2 4 JAPANESE COMPANIES fare best in U.S. when they give Americans more say	JAPANESE COMPANIES fared best in U.S. when they gave Americans more say
2 5 JAPANESE COMPANIES fare best in U.S. when they give Americans more say	JAPANESE COMPANIES fared best when they gave Americans more say
3 4 JAPANESE COMPANIES fare best in U.S. when they give Americans more say	JAPANESE COMPANIES fares best in U.S. when they give Americans more say
3 5 JAPANESE COMPANIES fare best in U.S. when they give Americans more say	JAPANESE COMPANIES fares best when they give Americans more say
0 4 Americans stay longer with Japanese firms than American companies	Americans stay longer with Japanese firms than American companies
0 5 Americans stay longer with Japanese firms than American companies	Americans stay longer
1 4 Americans stay longer with Japanese firms than American companies	Americans will stay longer with Japanese firms than American companies
1 5 Americans stay longer with Japanese firms than American companies	Americans will stay longer
2 4 Americans stay longer with Japanese firms than American companies	Americans stayed longer with Japanese firms than American companies
2 5 Americans stay longer with Japanese firms than American companies	Americans stayed longer
3 4 Americans stay longer with Japanese firms than American companies	Americans stays longer with Japanese firms than American companies
3 5 Americans stay longer with Japanese firms than American companies	Americans stays longer
0 4 But they think promotions are limited	But they think promotions are limited
1 4 But they think promotions are limited	But they will think promotions will be limited
2 4 But they think promotions are limited	But they thought promotions were limited
0 4 Some consultants had insisted it would n't work	Some consultants had insisted it would n't work
1 4 Some consultants had insisted it would n't work	Some consultants will have insisted it will n't work
3 4 Some consultants had insisted it would n't work	Some consultants have insisted it does n't work
0 4 LONG-TERM care insurance gains favor	LONG-TERM care insurance gains favor
1 4 LONG-TERM care insurance gains favor	LONG-TERM care insurance will gain favor
2 4 LONG-TERM care insurance gains favor	LONG-TERM care insurance gained favor
0 4 FEAR OF AIDS hinders hiring at few hospitals	FEAR OF AIDS hinders hiring at few hospitals
0 5 FEAR OF AIDS hinders hiring at few hospitals	FEAR hinders hiring
1 4 FEAR OF AIDS hinders hiring at few hospitals	FEAR OF AIDS will hinder hiring at few hospitals
1 5 FEAR OF AIDS hinders hiring at few hospitals	FEAR will hinder hiring
2 4 FEAR OF AIDS hinders hiring at few hospitals	FEAR OF AIDS hindered hiring at few hospitals
2 5 FEAR OF AIDS hinders hiring at few hospitals	FEAR hindered hiring
0 4 I can tell you that nobody quit over it	I can tell you that nobody quit over it
0 5 I can tell you that nobody quit over it	I can tell you that nobody quit
1 4 I can tell you that nobody quit over it	I can tell you that nobody will quit over it
1 5 I can tell you that nobody quit over it	I can tell you that nobody will quit
2 4 I can tell you that nobody quit over it	I could tell you that nobody quit over it
2 5 I can tell you that nobody quit over it	I could tell you that nobody quit
0 4 No one panicked a spokeswoman says	No one panicked a spokeswoman says
1 4 No one panicked a spokeswoman says	No one will panic a spokeswoman will say
2 4 No one panicked a spokeswoman says	No one panicked a spokeswoman said
3 4 No one panicked a spokeswoman says	No one panics a spokeswoman says
0 4 IBM 's push is also unusual in its approach to marketing	IBM 's push is also unusual in its approach to marketing
0 5 IBM 's push is also unusual in its approach to marketing	IBM 's push is also unusual
